Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q88,DMG2302U,SOT-23_alt_silk,149.479,-191.2874,-90,top
Q89,DMG2301L,SOT-23_alt_silk,147.701,-179.4764,-90,top
Q90,DMG2302U,SOT-23_alt_silk,147.701,-183.4134,-90,top
Q91,DMG2301L,SOT-23_alt_silk,145.923,-195.2244,-90,top
Q92,DMG2302U,SOT-23_alt_silk,145.923,-199.1614,-90,top
Q93,DMG2301L,SOT-23_alt_silk,144.145,-187.3504,-90,top
Q94,DMG2302U,SOT-23_alt_silk,144.145,-191.2874,-90,top
Q95,DMG2301L,SOT-23_alt_silk,142.367,-179.4764,-90,top
Q96,DMG2302U,SOT-23_alt_silk,142.367,-183.4134,-90,top
Q97,DMG2301L,SOT-23_alt_silk,140.589,-195.2244,-90,top
Q98,DMG2302U,SOT-23_alt_silk,140.589,-199.1614,-90,top
Q99,DMG2301L,SOT-23_alt_silk,138.811,-187.3504,-90,top
Q100,DMG2302U,SOT-23_alt_silk,138.811,-191.2874,-90,top
Q101,DMG2301L,SOT-23_alt_silk,137.033,-179.4764,-90,top
Q102,DMG2302U,SOT-23_alt_silk,137.033,-183.4134,-90,top
Q103,DMG2301L,SOT-23_alt_silk,135.255,-195.2244,-90,top
Q104,DMG2302U,SOT-23_alt_silk,135.255,-199.1614,-90,top
Q105,DMG2301L,SOT-23_alt_silk,133.477,-187.3504,-90,top
Q106,DMG2302U,SOT-23_alt_silk,133.477,-191.2874,-90,top
Q107,DMG2301L,SOT-23_alt_silk,131.699,-179.4764,-90,top
Q108,DMG2302U,SOT-23_alt_silk,131.699,-183.4134,-90,top
Q109,DMG2301L,SOT-23_alt_silk,129.921,-195.2244,-90,top
Q110,DMG2302U,SOT-23_alt_silk,129.921,-199.1614,-90,top
Q111,DMG2301L,SOT-23_alt_silk,128.143,-187.3504,-90,top
Q112,DMG2302U,SOT-23_alt_silk,128.143,-191.2874,-90,top
Q113,DMG2301L,SOT-23_alt_silk,126.365,-179.4764,-90,top
Q114,DMG2302U,SOT-23_alt_silk,126.365,-183.4134,-90,top
Q115,DMG2301L,SOT-23_alt_silk,124.587,-195.2244,-90,top
Q116,DMG2302U,SOT-23_alt_silk,124.587,-199.1614,-90,top
Q117,DMG2301L,SOT-23_alt_silk,122.809,-187.3504,-90,top
Q118,DMG2302U,SOT-23_alt_silk,122.809,-191.2874,-90,top
Q119,DMG2301L,SOT-23_alt_silk,121.031,-179.4764,-90,top
Q120,DMG2302U,SOT-23_alt_silk,121.031,-183.4134,-90,top
Q121,DMG2301L,SOT-23_alt_silk,119.253,-195.2244,-90,top
Q122,DMG2302U,SOT-23_alt_silk,119.253,-199.1614,-90,top
Q123,DMG2301L,SOT-23_alt_silk,117.475,-187.3504,-90,top
Q124,DMG2302U,SOT-23_alt_silk,117.475,-191.2874,-90,top
Q125,DMG2301L,SOT-23_alt_silk,115.697,-179.4764,-90,top
Q126,DMG2302U,SOT-23_alt_silk,115.697,-183.4134,-90,top
